country,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Uruguay,94.3,,,,,,,,,,95.9,,,,,,,,,,,97.3,,,,,,,,,,98.1,98.2,98.5,98.6,98.5,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,98.1,,,,,,,,,,,99.2
Venezuela,,,,,,,83,,,,,,,,,89,,,,,,,,,,,92.7,,,,,,94.9,,95.3,,
Vietnam,,,,,78.1,,,,,,,,,,82.8,,,,,,,,,,86.9,86.6,,,,,,,,,,,91.4
Vanuatu,,,,,47.8,,,,,,,,,,,,,,,65.5,,,,,,,,,,76,,,,,,,81.5
Samoa,,,,,,,,,,,,,,,,,97.4,,,,,,,,,,,,,98.3,,,,,,,98.6
Yemen,,,,,,,,,,,,,,,,,,,,17.1,,,,,,,,,,35.5,,,,,,,48.5
South Africa,,,,,,74.8,,,,,,,,,,,,,,,,80.9,,,,,,,,,,,87,,,,92.2
Zambia,,,,,,,,,,,,,,,,57.4,,,,,,,,,59.8,,,61.8,,,,,51.8,,,,
Zimbabwe,,,,,,,,71.8,,,,,,,,,,78.5,,,,,,,,,,,,,,,,,,,80.1
