,Index,Year,Lit,Pop,Sat,Gender
512,South-Eastern Asia,2005,88.8,33512973.28571428,33512973.28571428,F
513,South-Eastern Asia,2006,42.5,33971886.92979096,33971886.92979096,F
514,South-Eastern Asia,2007,85.26666666666667,34433136.28571429,34433136.28571429,F
515,South-Eastern Asia,2008,77.80000000000001,34895916.50131955,34895916.50131955,F
516,South-Eastern Asia,2009,79.2,35358890.428571425,35358890.428571425,F
517,South-Eastern Asia,2010,90.25,35820759.42857144,35820759.42857144,F
518,Southern Africa,1974,,3383246.7500000014,3383246.7500000014,F
519,Southern Africa,1975,,3473024.9999999995,3473024.9999999995,F
520,Southern Africa,1976,,3562415.499999998,3562415.499999998,F
521,Southern Africa,1977,,3651910.7499999995,3651910.7499999995,F
522,Southern Africa,1978,,3743257.749999998,3743257.749999998,F
523,Southern Africa,1979,74.8,3838884.128983207,3838884.128983207,F
524,Southern Africa,1980,,3940415.75,3940415.75,F
525,Southern Africa,1981,,4048634.000000004,4048634.000000004,F
526,Southern Africa,1982,,4162642.499999998,4162642.499999998,F
527,Southern Africa,1983,,4280408.250000001,4280408.250000001,F
528,Southern Africa,1984,,4398993.999999999,4398993.999999999,F
529,Southern Africa,1985,,4516298.500000003,4516298.500000003,F
530,Southern Africa,1986,,4631101.750000002,4631101.750000002,F
531,Southern Africa,1987,,4743979.249999998,4743979.249999998,F
532,Southern Africa,1988,,4856781.999999997,4856781.999999997,F
533,Southern Africa,1989,,4972282.499999995,4972282.499999995,F
534,Southern Africa,1990,72.65,5092197.749999996,5092197.749999996,F
535,Southern Africa,1991,,5217209.499999997,5217209.499999997,F
536,Southern Africa,1992,,5345781.250000002,5345781.250000002,F
537,Southern Africa,1993,,5474725.750000002,5474725.750000002,F
538,Southern Africa,1994,,5599661.250000005,5599661.250000005,F
539,Southern Africa,1995,80.9,5717398.000000002,5717398.000000002,F
540,Southern Africa,1996,,5827133.999999997,5827133.999999997,F
541,Southern Africa,1997,,5929708.249999995,5929708.249999995,F
542,Southern Africa,1998,,6025666.750000004,6025666.750000004,F
543,Southern Africa,1999,92.0,6116146.499999999,6116146.499999999,F
544,Southern Africa,2000,83.5,6202255.250000004,6202255.250000004,F
545,Southern Africa,2001,,6284004.499999999,6284004.499999999,F
546,Southern Africa,2002,81.8,6361844.250000003,6361844.250000003,F
547,Southern Africa,2003,,6437949.250000001,6437949.250000001,F
548,Southern Africa,2004,,6515086.499999998,6515086.499999998,F
549,Southern Africa,2005,,6595384.249999997,6595384.249999997,F
550,Southern Africa,2006,82.65,6679521.999999995,6679521.999999995,F
551,Southern Africa,2007,,6767474.2500000065,6767474.2500000065,F
552,Southern Africa,2008,85.0,6859795.750000004,6859795.750000004,F
553,Southern Africa,2009,,6956880.250000006,6956880.250000006,F
554,Southern Africa,2010,88.9,7058820.249999998,7058820.249999998,F
555,Southern Asia,1974,,50640608.249999985,50640608.249999985,F
556,Southern Asia,1975,,51826034.99999999,51826034.99999999,F
557,Southern Asia,1976,82.2,53047778.24999996,53047778.24999996,F
558,Southern Asia,1977,,54305095.74999997,54305095.74999997,F
559,Southern Asia,1978,4.99,55598225.874999985,55598225.874999985,F
560,Southern Asia,1979,,56927121.999999985,56927121.999999985,F
561,Southern Asia,1980,29.93,58291238.12500002,58291238.12500002,F
562,Southern Asia,1981,,59690969.49999997,59690969.49999997,F
563,Southern Asia,1982,,61124968.75000001,61124968.75000001,F
564,Southern Asia,1983,,62588697.37500001,62588697.37500001,F
565,Southern Asia,1984,92.4,64076188.74999999,64076188.74999999,F
566,Southern Asia,1985,,65582993.875,65582993.875,F
567,Southern Asia,1986,,67105729.37500004,67105729.37500004,F
568,Southern Asia,1987,,68644562.4366602,68644562.4366602,F
569,Southern Asia,1988,,70202794.37499999,70202794.37499999,F
570,Southern Asia,1989,96.2,71785707.24999997,71785707.24999997,F
571,Southern Asia,1990,25.633333333333336,73396260.25000006,73396260.25000006,F
572,Southern Asia,1991,,75034939.0,75034939.0,F
573,Southern Asia,1992,,76697543.74999999,76697543.74999999,F
574,Southern Asia,1993,,78376584.49999994,78376584.49999994,F
575,Southern Asia,1994,96.4,80062066.62499997,80062066.62499997,F
576,Southern Asia,1995,,81746325.25000004,81746325.25000004,F
577,Southern Asia,1996,,83424715.50000006,83424715.50000006,F
578,Southern Asia,1997,29.0,85097187.99999993,85097187.99999993,F
579,Southern Asia,1998,,86766119.62500001,86766119.62500001,F
580,Southern Asia,1999,96.4,88436090.99999997,88436090.99999997,F
581,Southern Asia,2000,53.15,90109421.74999999,90109421.74999999,F
582,Southern Asia,2001,,91785959.375,91785959.375,F
583,Southern Asia,2002,,93460905.18582198,93460905.18582198,F
584,Southern Asia,2003,,95126388.25000006,95126388.25000006,F
585,Southern Asia,2004,37.05,96772156.75,96772156.75,F
586,Southern Asia,2005,69.475,98390405.25000006,98390405.25000006,F
587,Southern Asia,2006,,99979128.375,99979128.375,F
588,Southern Asia,2007,64.6,101538967.625,101538967.625,F
589,Southern Asia,2008,40.3,103068334.00000001,103068334.00000001,F
590,Southern Asia,2009,90.0,104566299.00000003,104566299.00000003,F
591,Southern Asia,2010,37.7,106033040.62499997,106033040.62499997,F
592,Southern Europe,1974,,5779969.909090908,5779969.909090908,F
593,Southern Europe,1975,,3385974.323505729,3385974.323505729,F
594,Southern Europe,1976,,3426197.1995720905,3426197.1995720905,F
595,Southern Europe,1977,,3466629.527954818,3466629.527954818,F
596,Southern Europe,1978,,3506212.4456075174,3506212.4456075174,F
597,Southern Europe,1979,,3543661.794875728,3543661.794875728,F
598,Southern Europe,1980,86.32499999999999,3578024.377973363,3578024.377973363,F
599,Southern Europe,1981,,3171289.547369546,3171289.547369546,F
600,Southern Europe,1982,,3194859.722470364,3194859.722470364,F
601,Southern Europe,1983,,3215816.8612594525,3215816.8612594525,F
602,Southern Europe,1984,88.3,3234515.875382547,3234515.875382547,F
603,Southern Europe,1985,,1088533.7237749093,1088533.7237749093,F
604,Southern Europe,1986,,1098629.225288364,1098629.225288364,F
605,Southern Europe,1987,,1108472.0921925455,1108472.0921925455,F
606,Southern Europe,1988,,1116938.2966797277,1116938.2966797277,F
607,Southern Europe,1989,,1122535.0535416363,1122535.0535416363,F
608,Southern Europe,1990,92.66,1124281.7840118178,1124281.7840118178,F
609,Southern Europe,1991,,1121689.5930973636,1121689.5930973636,F
610,Southern Europe,1992,,1115311.0013649995,1115311.0013649995,F
611,Southern Europe,1993,,1106493.7731479995,1106493.7731479995,F
612,Southern Europe,1994,89.2,1097173.4611476366,1097173.4611476366,F
613,Southern Europe,1995,,6310042.2727272725,6310042.2727272725,F
614,Southern Europe,1996,,1081798.5277376364,1081798.5277376364,F
615,Southern Europe,1997,,1075905.7011049092,1075905.7011049092,F
616,Southern Europe,1998,,1070941.855554091,1070941.855554091,F
617,Southern Europe,1999,94.4,1066468.9902201814,1066468.9902201814,F
618,Southern Europe,2000,96.9,1062158.471847819,1062158.471847819,F
619,Southern Europe,2001,,1058057.5286441818,1058057.5286441818,F
620,Southern Europe,2002,,1054331.5258657273,1054331.5258657273,F
621,Southern Europe,2003,99.6,1050909.385581272,1050909.385581272,F
622,Southern Europe,2004,95.2,749283.657900364,749283.657900364,F
623,Southern Europe,2005,,746044.6592719085,746044.6592719085,F
624,Southern Europe,2006,97.3,742790.1921219997,742790.1921219997,F
625,Southern Europe,2007,95.80000000000001,739498.7710501817,739498.7710501817,F
626,Southern Europe,2008,96.9,736137.5754634544,736137.5754634544,F
627,Southern Europe,2009,97.0,732668.1722149088,732668.1722149088,F
628,Southern Europe,2010,97.1,729074.7082560904,729074.7082560904,F
629,Western Africa,1974,3.18,3945543.6428571427,3945543.6428571427,F
630,Western Africa,1975,5.74,4046004.285714287,4046004.285714287,F
631,Western Africa,1976,,4151634.2142857127,4151634.2142857127,F
632,Western Africa,1977,,4262227.857142855,4262227.857142855,F
633,Western Africa,1978,9.065,4377050.285714284,4377050.285714284,F
634,Western Africa,1979,,4495050.142857145,4495050.142857145,F
635,Western Africa,1980,,4615477.285714289,4615477.285714289,F
636,Western Africa,1981,,4738047.500000003,4738047.500000003,F
637,Western Africa,1982,,4863030.285714285,4863030.285714285,F
638,Western Africa,1983,19.3,4990910.857142854,4990910.857142854,F
639,Western Africa,1984,,5122415.714285715,5122415.714285715,F
